"action_allow","Zezwól"
"perk_info_Sluggardly","Zawsze [powolny/powolna] i zawsze [zmęczony/zmęczona]. <name> ma problemy ze zdążeniem na czas i robi wszystko bardzo opieszale."
"perk_info_Laggardly","<name> z trudem dotrzymuje kroku każdemu. Snuje się za plecami, a wykonanie najmniejszej pracy zajmuje [mu/jej] więcej czasu niż pozostałym."
"perk_info_Hefty","<name> to praktycznie [olbrzym/olbrzymka]. Nie słynie z wielkiej szybkości."
"perk_info_SunSeeker","<name> czuje, że żyje, gdy świeci słońce. Wystarczy kilka złocistych promieni, by wydobyć z [niego/niej] to, co najlepsze."
"perk_info_SnowWhite","<name> uwielbia przenikliwie zimne powietrze i ostry mróz w środku zimy. Najlepiej czuje się w chłodzie."
"perk_info_Washout","Kiedy zbliżają się deszczowe chmury, można się spodziewać, że <name> będzie bardzo [niezadowolony/niezadowolona]. Kiedy przemoknie, jest w paskudnym nastroju."
"perk_info_Dullard","<name> bardzo wolno przyswaja rozmaite fakty i wymaga wiele cierpliwości. A nawet wtedy może się okazać, że nic nie zrozumie."
"perk_info_Wise","<name> często widzi sprawy z innej perspektywy i myśli inaczej niż większość osadników. Potrafi rozwiązywać problemy."
"perk_info_Erudite","<name> posiada rzadki intelekt i można [go/ją] uznać za osobę wybitnie obdarowaną przez los. Wyjątkowo szybko się uczy."
"perk_info_Bloodlust","[Podekscytowany/Podekscytowana] perspektywą krwawej jatki <name> zawsze chętnie przyłączy się do walki."
"perk_info_Callous","<name> ma za nic człowieczeństwo. Ciało ludzkie to dla [niego/niej] tylko rzecz, z której umyka dusza."
"perk_info_Cannibal","<name> to [bezlitosny morderca pożerający/bezlitosna morderczyni pożerająca] ludzi. Twierdzi, że spożywanie ludzkiego ciała [go/ją] wzmacnia."
"perk_info_SweetTooth","<name> przepada za rozmaitymi słodkościami. Każdy słodki smakołyk wywołuje u [niego/niej] niepohamowaną radość."
"bg_recent_name_Apostate","[Bezbożny/Bezbożna]"
"bg_recent_name_Uprooted","[Wypędzony/Wypędzona]"
"bg_recent_name_Caring","[Opiekuńczy/Opiekuńcza]"
"bg_recent_name_Cunning","[Przebiegły/Przebiegły]"
"bg_recent_name_Rustic","[Wiejski/Wiejska]"
"bg_recent_name_Soothsaying","[Przenikliwy/Przenikliwa]"
"bg_recent_name_Spinning","[Odprężony/Odprężona]"
"bg_recent_name_Tireless","[Niestrudzony/Niestrudzona]"
"bg_recent_name_Penitent","[Pokutny/Pokutna]"
"bg_recent_name_Shrewd","[Obrotny/Obrotna]"
"bg_recent_name_Faithless","[Niewierny/Niewierna]"
"bg_recent_name_Yorkist","[Yorkistowski/Yorkistowska]"
"bg_recent_name_Savage","[Dziki/Dzika]"
"bg_recent_name_Cheerful","[Pogodny/Pogodna]"
"bg_recent_name_Charitable","[Miłosierny/Miłosierna]"
"bg_recent_name_AvantGarde","[Pionierski/Pionierska]"
"bg_recent_name_Toxic","[Toksyczny/Toksyczna]"
"bg_recent_name_Clever","[Inteligentny/Inteligentna]"
"bg_recent_name_Inconspicuous","[Dyskretny/Dyskretna]"
"bg_recent_name_Ambitious","[Ambitny/Ambitna]"
"bg_recent_name_Despicable","[Nikczemny/Nikczemna]"
"bg_recent_name_Accurate","[Celny/Celna]"
"bg_recent_name_Confident","[Bezkarny/Bezkarna]"
"bg_recent_name_Patient","[Cierpliwy/Cierpliwa]"
"bg_recent_name_Deadly","[Poważny/Poważna]"
"bg_recent_name_Bloodthirsty","[Krwiożerczy/Krwiożercza]"
"bg_recent_name_Bookish","[Oczytany/Oczytana]"
"bg_recent_name_Hopeful","[Ufny/Ufna]"
"bg_recent_name_Ruthless","[Bezlitosny/Bezlitosna]"
"bg_recent_name_Loyal","[Lojalny/Lojalna]"
"bg_recent_name_Chivalrous","[Rycerski/Rycerska]"
"bg_recent_name_Weary","[Znużony/Znużona]"
"bg_recent_name_Wicked","[Podły/Podła]"
"bg_recent_name_Thrifty","[Zaradny/Zaradny]"
"bg_recent_name_Tempered","[Powściągliwy/Powściągliwa]"
"bg_recent_name_Brutal","[Brutalny/Brutalna]"
"bg_recent_name_Winsome","[Atrakcyjny/Atrakcyjna]"
"bg_recent_name_Willful","[Zdecydowany/Zdecydowana]"
"bg_recent_name_Artful","[Chytry/Chytra]"
"bg_recent_name_Crafty","[Zręczny/Zręczna]"
"bg_recent_name_Swindling","[Oszust/Oszustka]"
"bg_recent_name_Thoughtless","[Bezmyślny/Bezmyślna]"
"bg_recent_name_Reckless","[Lekkomyślny/Lekkomyślna]"
"bg_recent_name_Desolate","[Zatroskany/Zatroskana]"
"bg_recent_name_Solitary","[Samotny/Samotna]"
"bg_recent_info_Apostate","<name> [dołączył/dołączyła] do Kręgu Avalonu. W tajemnicy [gardził/gardziła] potulnymi i posłusznymi chrześcijanami, z ulgą dowiadując się, że nie jest w tym [odosobniony/odosobniona]. Skoro oczyszczenie już się dokonało, [mógł/mogła] marzyć o rychłym powrocie króla Artura z podziemi."
"bg_recent_info_Uprooted","<name> [popadł/popadła] w rozpacz. Patrzenie na śmierć wieśniaków było okropne, ale prawdziwą katastrofą okazała się zaraza wśród owiec z <origin>. [Zrobił co było w jego/Zrobiła co było w jej] mocy, podrzynając zwierzętom gardła po zauważeniu nawet najmniejszej oznaki zarażenia. [Pozbawiony/Pozbawiona] trzody oraz środków do życia, [uciekł/uciekła]."
"bg_recent_info_Caring","nie było nikogo, kto zaopiekowałby się zwierzętami. Świnie biegały samopas, a bydło głodowało zimą na polach. Po tym, jak któregoś dnia [znalazł/znalazła] swoją martwą klacz obok nowo narodzonego źrebaka, <name> [postanowił/postanowiła] zająć się wszystkimi zwierzętami w potrzebie."
"bg_recent_info_Cunning","<name> [spalił/spaliła] rozkładające się zwłoki swoich bliskich, po czym [wyruszył/wyruszyła] w leśne ostępy, śladem swojej babci. Rezolutna szamanka znała każdy liść, jagodę i grzyb. Dzięki niej <name> [stał się biegły/stała się biegła] w rozumieniu języka dzikiego lasu."
"bg_recent_info_Rustic","<name> [nauczył/nauczyła] się żywić owocami krzewów, od czasu do czasu posiłkując się ukradzionym jajkiem albo złapanym we wnyki zającem. [Potrafiłby/Potrafiłaby] przyrządzić posiłek nawet z mleczy, pierwiosnków lub gotowanych żołędzi."
"bg_recent_info_Soothsaying","<name> [żył/żyła] zgodnie z naturą, próbując nie przyjmować do wiadomości upadku cywilizacji i szukając pocieszenia wśród drzew. [Siadywał/Siadywała] pod leszczyną albo krzewem głogu, nasłuchując szeptów leśnych elfów. Czasami nawet z powodzeniem."
"bg_recent_info_Spinning","<name> [dowiedział/dowiedziała] się wszystkiego o wykorzystaniu lnu do wyrobu ubrań, posłań, worków, lin i oleju. Przez nieustanne roszenie, walcowanie, trzepanie i przędzenie lnu [zyskał/zyskała] naturalny spokój. <name> ma pewną rękę i lubi wpatrywać się błękitne, bezchmurne niebo w lecie."
"bg_recent_info_Tireless","<name> [zbijał/zbijała] trumny dla ofiar zarazy, później [zbijał/zbijała] deskami drzwi domów zamieszkiwanych przez zarażone rodziny, a podczas wojny o sukcesję [budował/budowała] trebusze. Rób coś, aby diabeł zawsze znalazł cię zajętym!"
"bg_recent_info_Penitent","<name> [sprawił/sprawiła] sobie czapkę z czerwonym krzyżem dla upamiętnienia miesięcy spędzonych podczas marszów biczowników, gdy razem z innymi [chłostał/chłostała] swoje nagie, okrwawione ciało kolczastymi biczami. Szlochając, szli i wołali „Bóg jest litościwy, Bóg jest sprawiedliwy”."
"bg_recent_info_Shrewd","okoliczności mogłyby być korzystniejsze, ale <name> [zdołał/zdołała] wycisnąć z nich ile się dało. Gdy [zaczął/zaczęła] wytwarzać wielokształtne amulety mające chronić przed zarazą ludzi różnych wyznań, bardzo szybko się [wzbogacił/wzbogaciła]."
"bg_recent_info_Faithless","<name> [został poproszony/została poproszona] o pomoc w odbudowie kościoła w <origin> pomimo trwającej zarazy. [Patrzył/Patrzyła] potem ponuro, jak społeczność wiernych kurczy się z powodu plagi, łamiąc się wspólnie chlebem, a potem chowając swoich braci i siostry. Wtedy właśnie [doszedł/doszła] do wniosku, że Bóg nie istnieje."
"bg_recent_info_Yorkist","<name> [uważał/uważała] za oczywiste, że winą za wszystko należy obarczyć rojalistów, którzy wyniszczyli Anglię do cna przez swoją głupią wojnę we Francji, dlatego ochoczo [zgłosił/zgłosiła] się do pomocy w obronie Yorku. Ktoś musiał dać przykład."
"bg_recent_info_Savage","<name> dosłownie [postradał/postradała] rozum. Gdy [ujrzał/ujrzała] Belzebuba, nie było już dla [niego/niej] ratunku. Pragnie schronienia, w którym będzie [mógł/mogła] oddawać się snom o rozlewie krwi i cierpieniu. <name> nie wie albo nie jest w stanie stwierdzić, czy [jadł/jadła] ludzkie mięso."
"bg_recent_info_Cheerful","<name> [lubił/lubiła] pogwizdywać podczas pracy, jak gdyby okropieństwa ostatniego czasu zupełnie [go/ją] ominęły. Powód do radości był prosty, albowiem [ów mężczyzna zapadł/owa kobieta zapadła] na zarazę, ale [zdołał/zdołała] umknąć przed śmiercią. Życie jest piękne."
"bg_recent_info_Charitable","<name> [chodził/chodziła] od młyna do młyna, błagając o mąkę albo zwyczajnie ją kradnąc. [Wypiekał/Wypiekała] z niej placki, które [rozdzielał/rozdzielała] pośród głodujących wieśniaków ledwo wiążących koniec z końcem. W ten sposób [miał jakieś zajęcie i czuł się potrzebny/miała jakieś zajęcie i czuła się potrzebna]."
"bg_recent_info_AvantGarde","<name> [lubił/lubiła] eksperymentować. Próbowaliście kiedyś szczura w winie albo węgorzy w kozim mleku? Do Armagedonu <name> również nie. [Wykazywał/Wykazywała] niemal kompletny brak lęku przed łączeniem losowych składników, aby nakarmić potrzebujących, co prowadziło do nieoczekiwanych rezultatów i częstych niestrawności."
"bg_recent_info_Toxic","<name> [zdobywał/zdobywała] jedzenie dla bandy wygłodniałych rabusiów, co jest raczej ryzykownym przedsięwzięciem. Czasami [szedł/szła] na skróty. Nie mając pewności, czy to przypadkowy muchomor czy zgniłe żyto doprowadziło do halucynacji, [upierał/upierała] się, że w zaistniałej sytuacji [zrobił co mógł/zrobiła co mogła]."
"bg_recent_info_Clever","<name> [uwierzył/uwierzyła], że zaraza oszczędziła [go/ją] dla wyższego celu. Tak mówił mnich z Canterbury, który nauczył [go/ją] czytać. „Wiedza to wolność” – [szeptał/szeptała] cicho <name>, wsiadając na muła i znikając w ciemnościach."
"bg_recent_info_Inconspicuous","<name> [miał/miała] za zadanie pod przykrywką szukać heretyków wśród grup rojalistów. Nie otrzymawszy od przełożonego dalszych instrukcji, [działał/działała] w ukryciu, wykorzystując zdobyte informacje, aby jakoś przeżyć."
"bg_recent_info_Ambitious","<name> [był pomocnikiem/była pomocnicą] w Oxfordzie, [podziwiał/podziwiała] zapisane pięknym pismem stronice, [układał/układała] pergaminy i [nalewał/nalewała] atrament do kałamarzy, służąc sumiennie swoim przełożonym w skryptorium. <name> ma pewną rękę. <name> [nauczył/nauczyła] się pisać i czytać, aby wreszcie zostać kimś ważnym."
"bg_recent_info_Despicable","<name> [wyruszył/wyruszyła] na wzgórza po łupy, bo upadła wszelka władza i porządek. Z racji urodzenia [wykazywał/wykazywała] cechy przywódcze i [postanowił/postanowiła] zebrać bandę łotrów, aby do woli zabijać i palić wioski. Chaos i świętokradztwo to [jego/jej] żywioł. Nie można [go/jej] lekceważyć."
"bg_recent_info_Accurate","<name> [zaczynał/zaczynała] od małych pokazów rzucania sztyletami nad głową pewnej ślicznotki za kilka monet. Po trafieniu pewnego rabusia prosto w oko [uznał/uznała], że ma do tego prawdziwy talent. <name> nigdy nie chybia."
"bg_recent_info_Confident","na trzęsawiskach i w lasach należących do możnych zaroiło się od zwierzyny łownej, więc <name> kłusuje teraz zupełnie bezkarnie. Może upolować wszystko, co tylko zechcesz: sarnę, dzika, królika albo pawia. Oczywiście wszystko kosztuje."
"bg_recent_info_Patient","<name> [nauczył/nauczyła] się cierpliwości podczas godzin spędzonych w gęstych krzakach jałowca albo na dębie, żując źdźbła trawy i nasłuchując wiatru. Gdy nadchodzi odpowiednia chwila, kładzie zwierzynę jedną strzałą."
"bg_recent_info_Deadly","<name> [wyruszył/wyruszyła] na krucjatę, aby pozbyć się zarozumiałych prostaków i uzurpatorów oraz przywrócić w Anglii właściwy ład i porządek. Liczyła się dla [niego/niej] błękitna krew i [zamierzał/zamierzała] odzyskać swoją ojcowiznę. Brudne chłopstwo trzeba było z powrotem rzucić na kolana."
"bg_recent_info_Bloodthirsty","<name> przypomniał sobie pewnego znachora leczącego czyraki. Gdy otwierał ludziom żyły, przeklinając Francuzów i samego króla, bruk spływał krwią. Przyszedł taki moment, gdy <name> [musiał/musiała] wyjąć medykamenty i oczyszczające zioła z poczerniałych dłoni konającego znachora. Teraz to [on/ona] trzymała w ręku zakrwawiony nóż."
"bg_recent_info_Bookish","studiowanie licznych wielkich dzieł w bibliotekach Oxfordu sprawiło, że <name> [postanowił/postanowiła] spróbować sił w medycynie. Pochodzi z dobrego domu i jest [ostatnim/ostatnią] z rodu. Nauki z ksiąg lepsze są od wiejskich remediów, ziół i amuletów, prawda?"
"bg_recent_info_Hopeful","<name> [łowił/łowiła] pijawki w stawie w <origin>, aby później umieścić je w słoiku i uzdrawiać wieśniaków. Nie [miał/miała] w tym względzie żadnego doświadczenia, ale kiedyś [widział/widziała], jak robił to jeden mnich u pewnego umierającego człowieka. Krzywdy raczej mu nie zrobił."
"bg_recent_info_Ruthless","<name> nie [mógł/mogła] zapomnieć mieszczan umierających na ulicach i możnych uciekających przed zarazą na północ. Czy wszyscy nie jesteśmy zwykłymi grzesznikami w oczach Boga? [Poszedł/Poszła] za Williamem z York walczącym o prawa dla zwykłych. Jeżeli trzeba, odda życie za sprawę."
"bg_recent_info_Loyal","<name> [przysiągł/przysięgła] wierność królowi Edmundowi, który wyznaczył sobie za cel przywrócenie w Anglii harmonii i równowagi. Każdego nieprawomyślnego chętnie rozsieka mieczem. Śmierć będzie szybka i litościwa."
"bg_recent_info_Chivalrous","<name> chętnie [słuchał/słuchała] opowieści o Sir Gawainie i Sir Bediverze, rozpływając się nad ich szlachetnością i litościwością. Po jakimś czasie przyszło [mu/jej] do głowy, że [sam/sama] posiada odpowiednie zalety, aby być rycerzem. A w tych straszliwych dniach boleśnie ich brakowało."
"bg_recent_info_Weary","<name> [odczuwał/odczuwała] znużenie. Bolały [go/ją] stawy i [zachodził/zachodziła] w głowę, jak udało się [mu/jej] ujść przed śmiercią. Wciąż polerował swoje miecze, nieco zawistnym okiem patrząc na towarzyszy, którzy zginęli w Saint-Omer. [On sam jakoś zdołał/Ona sama jakoś zdołała] to przetrwać."
"bg_recent_info_Wicked","<name> [żałował/żałowała], że [życzył/życzyła] kiedyś śmierci wszystkim domownikom. Kiedy [jego/jej] rodzinę dopadł nieszczęsny los, wyrzutom sumienia nie było końca. [Wziął/Wzięła] wtedy młot ojca i  [rozpalił/rozpaliła] w kowalskim piecu. Każde uderzenie metalu o metal rozbrzmiewało słowami: „twoja wina, twoja bardzo wielka wina”."
"bg_recent_info_Thrifty","<name> [opuścił/opuściła] wyludnione ulice <origin> na wozie i [zaczął/zaczęła] zbierać metalowe przedmioty. [Przeczesywał/Przeczesywała] kościoły i posiadłości, a po ich ogołoceniu [przetapiał/przetapiała] swoje łupy. Sir Hugh Gaveston i William z Yorku na pewno będą potrzebować mieczy."
"bg_recent_info_Tempered","<name> [zapakował/zapakowała] swoje ocalałe dzieci na wóz i [uciekł/uciekła]. Nie [mógł/mogła] pozostać w swoim dawnym domu, ponieważ duchy zmarłych bliskich straszyłyby [go/ją] do końca życia. [Odnalazł/Odnalazła] swoje miejsce, trudniąc się handlem artykułami metalowymi. W końcu nawet w takich czasach potrzebne są nowe kłódki i gwoździe."
"bg_recent_info_Brutal","<name> [popadł/popadła] w niełaskę i [trafił/trafiła] do więzienia. Uśmiech losu w postaci nawrotu plagi sprawił, że udało [mu/jej] się ukraść klucze chorym strażnikom i uciec. Rozwinęła się u [niego/niej] niezdrowa fascynacja torturami oraz narzędziami kaźni."
"bg_recent_info_Winsome","<name> [został kochankiem/została kochanką] księcia. [Pocieszał/Pocieszała] go bardzo skutecznie, gdy umierała jego żona, a gdy ta nieoczekiwanie ozdrowiała, [posunął/posunęła] się do szantażu. Nieszczęsny możnowładca został [jego marionetką/jej marionetką], a księżna trafiła do wieży."
"bg_recent_info_Willful","bardowie opowiadali, jak to <name> [rozkazał/rozkazała] zatrzasnąć bramy, całkowicie [głuchy/głucha] na jęki i zawodzenia ciżby. Siłą swojego autorytetu nie [pozwolił/pozwoliła] wpuścić zarazy do <origin>. Tego dnia [zyskał/zyskała] reputację [niezłomnego przywódcy/niezłomnej przywódczyni]."
"bg_recent_info_Artful","<name> [wybrał/wybrała] wieczne potępienie ponad życie w Czyśćcu. Najpierw [sprzedał/sprzedała] krowę, a potem jedyną córkę i [rozpoczął życie chytrego żebraka, przemierzającego/rozpoczęła życie chytrej żebraczki, przemierzającej] wyniszczone hrabstwa, prosząc o kromkę chleba. Wie, jak przetrwać."
"bg_recent_info_Crafty","<name> [okradał/okradała] nieboszczyków i pewnego razu [znalazł/znalazła] doskonałe nożyce. Choć odcinanie kawałków sukna z martwych kończyn było teraz prostsze, uszycie z nich zdatnych do noszenia ubiorów wymagało już więcej praktyki. Ale <name> nie [poddawał/poddawała] się i teraz potrafi skroić ubiór niemal ze wszystkiego."
"bg_recent_info_Swindling","<name> [przetrząsał/przetrząsała] stodoły w poszukiwaniu bezpańskich kociaków i szczeniaków, po czym [wkładał/wkładała] je do kolorowych worków zrobionych z płaszczy nieboszczyków i [udawał/udawała] się na targ. Tam [sprzedawał/sprzedawała] je po okazyjnej cenie jako „prosięta”... i [znikał/znikała] bez śladu. Kupujący, miejcie się na baczności!"
"bg_recent_info_Thoughtless","<name> [uznał/uznała] się za [krawca sukien/krawcową sukien], używając młyńskich worków, kawałków płótna i lnianych szmat do szycia ubrań dla żyjących w nędzy sierot i bezdomnych dzieci z <origin>. Widok tych pozbawionych godności biedaków był przerażający."
"bg_recent_info_Reckless","<name> [zakradał/zakradała] się do opuszczonych kopalń z grupą kompanów i kilkoma świeczkami w ręku. [Uważał/Uważała], że do takiej roboty wystarcza kilof i byle głupiec. Nie licząc śmiertelnego w skutkach obsunięcia kamieni oraz przypadków zalania korytarzy przez wodę, w sumie [miał/miała] rację."
"bg_recent_info_Desolate","<name> [chciał/chciała] komuś przyłożyć, wyładować swój gniew z powodu koszmarów i spustoszeń, które zniszczyły wszystko to, co [kochał/kochała]. Ale [był pacyfistą/była pacyfistką], dlatego do czasu ukojenia żalu w inny sposób [postanowił/postanowiła] wyrywać plony żyznej ziemi."
"bg_recent_info_Solitary","<name> [wolał/wolała] przebywać w zaciszu glinianki i pieca do wypalania wapna niż w mieście. [Odnajdywał/Odnajdywała] tam ślady człowieczeństwa i nie [musiał/musiała] oddychać odorem rozpaczy. [Wykuł/Wykuła] w skale sekretny labirynt przypominający ten w katedrze w Reims."
"background_context_link_01","Po Apokalipsie"
"background_context_link_02","Po czasach śmierci i terroru"
"background_context_link_03","Kiedy świat się zmienił,"
"background_context_link_04","Po ustąpieniu zarazy"
"bg_old_name_Farmer","Rolnik"
"bg_old_name_Swineherd","Świniopas"
"bg_old_name_Marshal","Weterynarz"
"bg_old_name_Cottar","Parobek"
"bg_old_name_Gardener","Ogrodnik"
"bg_old_name_Reeve","Zarządca"
"bg_old_name_Herbalist","Zielarz"
"bg_old_name_Roofer","Dekarz"
"bg_old_name_Bowyer","Łucarz"
"bg_old_name_Carpenter","Cieśla"
"bg_old_name_Wheelwright","Kołodziej"
"bg_old_name_Builder","Budowniczy"
"bg_old_name_BrickMaker","Ceglarz"
"bg_old_name_Shipwright","Szkutnik"
"bg_old_name_Innkeep","Karczmarz"
"bg_old_name_Butcher","Rzeźnik"
"bg_old_name_Chef","Kucharz"
"bg_old_name_Brewster","Browarnik"
"bg_old_name_Architect","Architekt"
"bg_old_name_MasterBuilder","Mistrz budowniczy"
"bg_old_name_Engineer","Inżynier"
"bg_old_name_Scribe","Skryba"
"bg_old_name_Monk","Mnich"
"bg_old_name_Hunter","Myśliwy"
"bg_old_name_Archer","Łucznik"
"bg_old_name_Recruit","Rekrut"
"bg_old_name_Healer","Uzdrowiciel"
"bg_old_name_FieldDoctor","Felczer"
"bg_old_name_Nun","Zakonnica"
"bg_old_name_Knight","Rycerz"
"bg_old_name_Soldier","Żołnierz"
"bg_old_name_ArmyCook","Kucharz Wojskowy"
"bg_old_name_Mercenary","Najemnik"
"bg_old_name_Farrier","Koniuch"
"bg_old_name_Lorimer","Podkuwacz"
"bg_old_name_Blacksmith","Kowal"
"bg_old_name_Armourer","Płatnerz"
"bg_old_name_Arrowsmith","Grotnik"
"bg_old_name_Barber","Golarz"
"bg_old_name_Courtesan","Dworzanin"
"bg_old_name_Alchemist","Alchemik"
"bg_old_name_Peddler","Handlarz"
"bg_old_name_Tanner","Garbarz"
"bg_old_name_Cordwainer","Mistrz Szewski"
"bg_old_name_Armorer","Wędrowny Zbrojmistrz"
"bg_old_name_Cobbler","Szewc"
"bg_old_name_Miner","Górnik"
"bg_old_name_Franklin","Wolny Kmieć"
"bg_old_name_Carter","Furman"
"bg_old_name_GraveDigger","Grabarz"
"bg_old_name_Berner","Łowca"
"bg_old_info_Farmer","Chociaż nie ma wykształcenia, <name> zawsze [wykazywał/wykazywała] się rozsądkiem. [Wiedział/Wiedziała], kiedy siać, żeby uniknąć przymrozków, a także jak zmusić woły do zaorania pola. Życie jest ciężkie, ale Matka Natura obdarza swe dzieci hojnymi darami. <name> [miał/miała] za co dziękować."
"bg_old_info_Swineherd","Przemierzając las w towarzystwie świń z kijem do strącania żołędzi i odpędzania intruzów w ręku, <name> nie [znał/znała] innego życia. [Spędzał/Spędzała] beztrosko czas, żując grzyby i marząc na jawie. [Jego/Jej] zdaniem inni ludzie mają cięższą pracę."
"bg_old_info_Marshal","<name> to [wędrowiec/wędrowczyni] z Barcelony, [mający/mająca] talent do leczenia zwierząt, a w ostateczności również ludzi. Jest [uczony/uczona] w wierze Maurów i zna nauki Galena i Arystotelesa. <name> ma doskonałe poczucie humoru!"
"bg_old_info_Cottar","Mając pole do zaorania i własną chatę, <name> [musiał/musiała] ciężko pracować. Nie [myślał/myślała] o niczym innym, tylko o śmierci i podatkach. Mając dwunastkę wynędzniałych domowników do wyżywienia, [obawiał/obawiała] się, że jeżeli umrą, będzie [zmuszony/zmuszona] oddać całą swoją trzodę w ramach tradycyjnego daru ofiarowywanego feudalnemu panu przez rodzinę zmarłego."
"bg_old_info_Gardener","<name> [odnalazł/odnalazła] spokój duszy w zaciszu pełnego kwiatów i ziół ogrodu. Dobrze [znał/znała] ich właściwości w sztuce kulinarnej i medycynie. Wśród dojrzewających roślin czas stał w miejscu, a <name> [delektował/delektowała] się ich zapachem."
"bg_old_info_Reeve","<name> [awansował/awansowała] ze [zwykłego chłopa/zwykłej chłopki] na [zarządcę/zarządczynię], dzięki czemu [mógł/mogła] zasiadać przy pańskim stole. A jednak nadzorowanie robotników było niewdzięcznym zadaniem. Mając tak wiele na głowie, czemu nie uszczknąć czegoś dla siebie? <name> [poczuł/poczuła] się zupełnie [rozgrzeszony/rozgrzeszona]."
"bg_old_info_Herbalist","Po tym, jak pewnego razu w Oxfordzie [widział/widziała] na własne oczy egzemplarz De Materia Medica, <name> [stał się zagorzałym zwolennikiem/stała się zagorzałą zwolenniczką] Dioskuridesa. Łącząc jego nauki z wiedzą swojej mentorki, starszej zakonnicy i medyczki, <name> [stał się znawcą/stała się znawczynią] botaniki."
"bg_old_info_Roofer","<name> [czuł, że jego/czuła, że jej] lęk wysokości był boskim darem, który należy wykorzystać w architektonicznym pomniku ku chwale Pana. Praca wysoko na wieży katedry w Salisbury była szczytowym momentem [jego/jej] kariery."
"bg_old_info_Bowyer","Podobno pod L’Ecluse <name> [ustrzelił/ustrzeliła] 23 francuskich żołnierzy, a każdego jednym precyzyjnym strzałem. [Jego/Jej] sławę jako [łucznika/łuczniczki] przewyższyła jedynie umiejętność wytwarzania wyśmienitych łuków długich."
"bg_old_info_Carpenter","<name> [należał/należała] do członków bractwa ciesielskiego, które zapewniało liczne korzyści. [Mógł/Mogła] przez cały dzień zajmować się obróbką drewna ze świadomością, że w przypadku śmierci bractwo zapłaci za [jego/jej] pogrzeb, a nawet modlitwę w [jego/jej] intencji, dlatego [odczuwał/odczuwała] głęboką wdzięczność."
"bg_old_info_Wheelwright","<name> z <origin> uważa, że krąg życia jest kołem pełnym szprych. [Lubił/Lubiła] pomagać w rozmaitych naprawach i budowach. Dla pewnej grupy aktorów na potrzeby misterium [wykonał/wykonała] nawet krucyfiks.."
"bg_old_info_Builder","Poczynając od drewnianych nadproży po budowanie grubych, zakrzywionych ścian z gliny, <name> potrafił zrobić wszystko swoimi silnymi rękami. <name> [słynął/słynęła] z prostactwa, podobnie jak z zapalczywości i zamiłowania do sprośnych opowiastek i nieprzyzwoitych pieśni."
"bg_old_info_BrickMaker","<name> [uwielbiał/uwielbiała] to delikatne uczucie śliskości ziemi pod stopami. [Spędził/Spędziła] szczęśliwe dzieciństwo, bawiąc się gliną w Hull i formując gliniane bloki do budowy zamków i fortec. Jest tak samo [twardy/twarda] jak owe gliniane cegły"
"bg_old_info_Shipwright","<name> [zajmował/zajmowała] się kiedyś budową łodzi w dokach, ale zna się na wszelkich pracach budowlanych. Portowe życie bywa niebezpieczne, dlatego <name> wie, jak zadać mocny cios i uniknąć ciosu nożem pod żebra."
"bg_old_info_Innkeep","<name> [słynął/słynęła] z najpyszniejszych ciast w <origin> i zawsze hojnie [nalewał/nalewała] piwa aż po same brzegi. [Jowialny i honorowy/Jowialna i honorowa], nigdy nie [wahał/wahała] się rozbić kilku czerepów, gdy dochodziło do bójki."
"bg_old_info_Butcher","Jako [członek/członkini] cechu rzeźników <name> dowiedział się wszystkiego o zwierzęcych wnętrznościach. Umie delikatnie obchodzić się ze zwierzętami, dlatego [starał/starała] się uśmiercać je błyskawicznie i oszczędzić im cierpień. <name> umie przyrządzić godne samego króla egzotyczne mięsiwa, których chłopi nigdy nie próbowali."
"bg_old_info_Chef","<name> praktycznie [wychował/wychowała] się w kuchni pod okiem wielkiego mistrza sztuki kulinarnej Tailleventa. [Pracował jako kucharz/Pracowała jako kucharka] dla najmożniejszych rodów Anglii. Pomimo snobizmu posiada bez wątpienia ogromne doświadczenie kulinarne w zakresie przyrządzania rozmaitych mięs, roślin i grzybów."
"bg_old_info_Brewster","Wysoki czarny kapelusz i miotła od razu zdradzają, czym para się <name>. Tak, oczywiście warzy piwo. Chlubiąc się swoją pracowitością, [poczuł się dotknięty/poczuła się dotknięta] insynuacjami opata, jakoby [próbował/próbowała] podstępnie rozpijać bogobojnych ludzi. Przedsiębiorczości nie sposób powstrzymać."
"bg_old_info_Architect","Jeżeli prawdą jest to, co powiadają, <name> [był zazdrosny/była zazdrosna] o Henry'ego Yeverleya. Chociaż nigdy nie [mógł/mogła] rywalizować z tym królewskim architektem, [uważał/uważała], że [jego/jej] własne koncepcje architektoniczne przedstawione w Château de Vincennes, godne są większego uznania."
"bg_old_info_MasterBuilder","<name> [uwielbiał/uwielbiała] rozmaite, skomplikowane konstrukcje. [Spędził/Spędziła] wiele lat, podróżując po całej Europie w poszukiwaniu konkretnych rozwiązań. Zdobywszy wiedzę od bezimiennych geniuszy budowania katedr, <name> wie, jak stawiać z żelaza i kamienia budowle rzucające wyzwanie siłom ciążenia."
"bg_old_info_Engineer","<name> z dumą [projektował/projektowała] potężne machiny wojenne. [Marzył/Marzyła] o zbudowaniu takiej, która kiedyś stanie się legendą, jak wielki trebusz skonstruowany przez mistrza Jakuba od św. Jerzego. Jakże pięknie wystrzeliwałby zwłoki i beczki ze smołą!"
